CECATI,Especialidad,Clave,Año,Modalidad
1,Administración,25-A-2019A,2022,Presencial
1,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
1,Elaboración de Dibujos Arquitectónico e Industrial,12-DIA-2019A,2022,Presencial
1,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
1,Mantenimiento a Equipos y Sistemas Electronicos,05-MESE-2021A,2022,Presencial
1,Máquinas-Herramientas,19-MH-2019A,2022,Presencial
1,Soldadura y Pailería,19-SP-2019A,2022,Presencial
1,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
1,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
1,Informática,23-O-2019A,2022,Mixta
1,Instalación y Mantenimiento de Sistemas Hidrosanitarios y de Gas,12-IHG-2018A,2022,Mixta
2,Administración,25-A-2019A,2022,Presencial
2,Alimentos y Bebidas,30-AB-2018A,2022,Presencial
2,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
2,Diseño y Decoración de Interiores,12-DDI-2017A,2022,Presencial
2,Elaboración de Dibujos Arquitectónico e Industrial,12-DIA-2019,2022,Presencial
2,Francés,22-F-2017A,2022,Presencial
2,Instalación de Recubrimiento Cerámicos,12-IRC-2022A,2022,Mixta
2,Mantenimiento a Equipos y Sistemas Electronicos,05-MESE-2021A,2022,Presencial
2,Soldadura y Pailería,19-SP-2019A,2022,Presencial
2,Soporte a Instalaciones Eléctricas y Motores Eléctricos,04-SIEME-2019A,2022,Presencial
2,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
2,Informática,23-O-2019A,2022,Mixta
3,Administración,25-A-2019A,2022,Presencial
3,Alimentos y Bebidas,30-AB-2018A,2022,Presencial
3,Aplicación de Normas y Procedimientos Contables y Fiscales,25-ANPCFEE-2017A,2022,Presencial
3,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
3,Confección de Prendas de Vestir,13-CIR-2022A,2022,Mixta
3,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
3,Elaboración de Dibujos Arquitectónico e Industrial,12-DIA-2019,2022,Presencial
3,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
3,Mantenimiento a Equipos y Sistemas Electronicos,05-MESE-2021A,2022,Presencial
3,Mantenimiento al Sistema Eléctrico Automotríz,08-MASEA-2022A,2023,Presencial
3,Mantenimiento al Sistema Electrónico Automotríz,08-MSEA-2020A,2023,Presencial
3,Mantenimiento Electrómecanico del Automóvil,08-MEA-2019A,2022,Presencial
3,Máquinas-Herramientas,19-MH-2019A,2022,Presencial
3,Soldadura y Pailería,19-SP-2019A,2022,Presencial
3,Soporte a Instalaciones Eléctricas y Motores Eléctricos,04-SIEME-2019A,2022,Presencial
3,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
3,Informática,23-O-2019A,2022,Mixta
4,Administración,25-A-2019A,2022,Presencial
4,Alimentos y Bebidas,30-AB-2018A,2022,Presencial
4,Confección de Prendas de Vestir,13-CIR-2022A,2023,Mixta
4,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
4,Diseño de Moda,13-DM-2019A,2022,Presencial
4,Elaboración de Dibujos Arquitectónico e Industrial,12-DIA-2019,2022,Presencial
4,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
4,Expresión Gráfica Digital,22-EGD-2017A,2022,Presencial
4,Instalación y Programación de Sistemas Electrónicos ,06-IPSM-2019A,2022,Presencial
4,Máquinas-Herramienta,19-MH-2019A,2022,Presencial
4,Metrología Dimencional,19-MD-2017A,2022,Presencial
4,Soldadura y Pailería,19-SP-2019A,2022,Presencial
4,Soporte a Instalaciones Eléctricas y Motores Eléctricos,04-SIEME-2019A,2022,Presencial
4,Soporte Técnico a Equipos y Sistemas Computacionales,11-STESC-2019A,2022,Presencial
4,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
4,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
4,Informática,23-O-2019A,2022,Mixta
11,Administración,25-A-2019A,2022,Presencial
11,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
11,Elaboración de Dibujos Arquitectónico e Industrial,12-DIA-2019A,2022,Presencial
11,Atención Integral a Personas Adultas Mayores,28-AIPAM-2022A,2023,Presencial
11,Atención Integral a Personas con Discapacidad,28-AIPD-2018A,2022,Presencial
11,Instalación y Programación de Sistemas Electrónicos ,06-IPSM-2019A,2022,Presencial
11,Refrigeración y Aire Acondicionado,07-RAA-2019A,2022,Mixta
11,Soporte a Instalaciones Eléctricas y Motores Eléctricos,04-SIEME-2019A,2022,Presencial
11,Soporte Técnico a Equipos y Sistemas Computacionales,11-STESC-2019A,2022,Presencial
11,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
11,Informática,23-O-2019A,2022,Mixta
12,Administración,25-A-2019A,2022,Presencial
12,Aplicación de Normas y Procedimientos Contables y Fiscales,25-ANPCFEE-2017A,2022,Presencial
12,Artes Gráficas,24-AG-2019A,2022,Presencial
12,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
12,Confección de Prendas de Vestir,13-CIR-2022A,2023,Mixta
12,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
12,Diseño de Moda,13-DM-2019A,2022,Presencial
12,Diseño e Imagen de la Carrocería,08-DIC-2017A,2023,Mixta
12,Diseño y Fabricación de Muebles de Madera,16-DFMM-2019A,2022,Presencial
12,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
12,Instalación y Programación de Sistemas Mecatrónicos,06-IPSM-2019A,2022,Presencial
12,Mantenimiento a Equipos y Sistemas Electronicos,05-MESE-2021A,2022,Presencial
12,Sastrerá,13-S-2017A,2022,Presencial
12,Soldadura y Pailería,19-SP-2019A,2022,Presencial
12,Soporte a Instalaciones Eléctricas y Motores Eléctricos,04-SIEME-2019A,2022,Presencial
12,Soporte Técnico a Equipos y Sistemas Computacionales,11-STESC-2019A,2022,Presencial
12,Tapicería,16-T-2017A,2022,Presencial
