Cursos,Especialidad,Lun_I,Lun_F,Mar_I,Mar_F,Mier_I,Mier_F,Jue_I,Jue_F,Vie_I,Vie_F,Sab_I,Sab_F,Inicio del Curso,Fin del Curso
Identificar los Elementos Basicos en la Creación de la Micro y Pequeña Empresa,Administración,16:00,18:30,16:00,18:30,16:00,18:30,16:00,18:30,,,,,02/04/2025,19/05/2025
Mercadotecnia en la Micro y Pequeña Empresa,Administración,16:00,18:30,16:00,18:30,16:00,18:30,16:00,18:30,,,,,20/05/2025,30/06/2025
Funcionamiento de la Cadena de Distribución en la Administración,Administración,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,,,,,02/04/2025,16/05/2025
Gestión del Tiempo en la Administración,Administración,12:00,15:00,12:00,15:00,12:00,15:00,12:00,15:00,,,,,02/04/2025,16/05/2025
Resiliencia en las Empresas,Administración,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,,,19/05/2025,13/06/2025
Toma de Decisiones en la Administración,Administración,12:00,15:00,12:00,15:00,12:00,15:00,12:00,15:00,12:00,15:00,,,19/05/2025,13/06/2025
Funciones del Auxiliar Administrativo,Administración,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,,,16/06/2025,30/06/2025
Ventas al Menudeo,Administración,12:00,15:00,12:00,15:00,12:00,15:00,12:00,15:00,12:00,15:00,,,16/06/2025,30/06/2025
Cálculo de Impuestos. Régimen Actividades Empresariales y Profesionales,Aplicación de Normas y Procedimientos Contables y Fiscales,17:00,19:00,17:00,19:00,17:00,19:00,17:00,19:00,17:00,19:00,,,30/04/2025,13/06/2025
"Contabilidad II, Elaboración de Estado de Resultados",Aplicación de Normas y Procedimientos Contables y Fiscales,19:00,21:00,19:00,21:00,19:00,21:00,19:00,21:00,19:00,21:00,,,30/04/2025,13/06/2025
Calculo de Impuestos. Régimen Simplificado de Confianza,Aplicación de Normas y Procedimientos Contables y Fiscales,17:00,21:00,17:00,21:00,17:00,21:00,17:00,21:00,17:00,21:00,,,16/06/2025,30/06/2025
Elaboración de Sellos con Goma,Artes Gráficas,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,,,07/05/2025,30/05/2025
Grabado con Linóleo,Artes Gráficas,11:30,15:00,11:30,15:00,11:30,15:00,11:30,15:00,11:30,15:00,,,07/05/2025,30/05/2025
Impresión de Sellos de Goma,Artes Gráficas,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,,,02/06/2025,13/06/2025
Grabado de Grecas con Linóleo,Artes Gráficas,11:30,15:00,11:30,15:00,11:30,15:00,11:30,15:00,11:30,15:00,,,02/06/2025,13/06/2025
Elaboración de Grabado con Técnica Aguafuerte,Artes Gráficas,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,,,16/06/2025,30/06/2025
Introducción a la Caligrafía con Plumilla,Artes Gráficas,11:30,15:00,11:30,15:00,11:30,15:00,11:30,15:00,11:30,15:00,,,16/06/2025,30/06/2025
Elaboración de Encuadernación en Piel,Artes Gráficas,11:30,14:00,11:30,14:00,11:30,14:00,11:30,14:00,11:30,14:00,,,06/05/2025,09/06/2025
Aplicación de Serigrafía en Articulos de Papelería,Artes Gráficas,9:00,11:30,9:00,11:30,9:00,11:30,9:00,11:30,9:00,11:30,,,14/05/2025,05/06/2025
"Aplicación de Serigrafía en Vasos, Plumas y Encendedores",Artes Gráficas,9:00,11:30,9:00,11:30,9:00,11:30,9:00,11:30,9:00,11:30,,,06/06/2025,30/06/2025
Elaboración de Encuadernación de Costuras Expuestas,Artes Gráficas,11:30,14:00,11:30,14:00,11:30,14:00,11:30,14:00,11:30,14:00,,,10/06/2025,30/06/2025
Aplicación de Serigrafia en Impresion Textil,Artes Gráficas,9:00,11:30,9:00,11:30,9:00,11:30,9:00,11:30,9:00,11:30,,,01/04/2025,13/05/2025
Bordado Tipo Boro Sashiko,Artesanías con Fibras Textiles,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,,,02/04/2025,16/05/2025
Bordado Tipo Sashiko,Artesanías con Fibras Textiles,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,,,19/05/2025,13/06/2025
Elaboración de Colgantes Artesanaes en Fieltro,Artesanías con Fibras Textiles,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,9:00,12:00,,,16/06/2025,30/06/2025
Elaboración de Joyería con Esmalte a Fuego y Pigmentos Sobre Cuberta,Artesanías Metálicas,,,9:00,13:00,,,9:00,13:00,,,,,06/05/2025,05/06/2025
Elaboración de Joyeria con Soldadura Tipo Cartoneado,Artesanías Metálicas,9:00,13:00,,,9:00,13:00,,,9:00,13:00,,,07/05/2025,09/06/2025
Elaboración de Joyeria con Alambre,Artesanías Metálicas,9:00,13:00,9:00,13:00,9:00,13:00,9:00,13:00,9:00,13:00,,,10/06/2025,30/06/2025
Estimulación Temprana para Niños Lactantes,Asistencia Educativa Inicial y Preescolar,10:30,14:00,10:30,14:00,10:30,14:00,10:30,14:00,10:30,14:00,,,29/05/2025,30/06/2025
Asistencia a Niños con Discapacidad y Aptitudes Sobresalientes (Curso Especializado),Asistencia Educativa Inicial y Preescolar,10:30,14:00,10:30,14:00,10:30,14:00,10:30,14:00,10:30,14:00,,,01/04/2025,25/05/2025
Asistencia a Niños con Discapacidad y Aptitudes Sobresalientes (Curso Especializado),Asistencia Educativa Inicial y Preescolar,14:00,17:00,14:00,17:00,14:00,17:00,14:00,17:00,14:00,17:00,,,28/04/2025,30/06/2025
Estimulación Temprana para Niños Maternales,Asistencia Educativa Inicial y Preescolar,17:00,21:00,17:00,21:00,17:00,21:00,17:00,21:00,17:00,21:00,,,29/05/2025,30/06/2025
Elaboración de Manualidades Escolares con Materiales Convencionales de Reúso,Asistencia Educativa Inicial y Preescolar,,,,,,,,,,,8:00,12:00,22/03/2025,30/04/2025
Organización de Archivos,Asistencia Ejecutiva,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,,,07/05/2025,30/05/2025
Elaboración de Correspondencia,Asistencia Ejecutiva,11:30,15:00,11:30,15:00,11:30,15:00,11:30,15:00,11:30,15:00,,,07/05/2025,30/05/2025
Aplicación de Reglas de Acentuación,Asistencia Ejecutiva,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,,,02/06/2025,13/06/2025
Adquirir Habilidades para Escritura Rápida,Asistencia Ejecutiva,11:30,15:30,11:30,15:30,11:30,15:30,11:30,15:30,11:30,15:30,,,02/06/2025,13/05/2025
Uso de WhatsApp para Asistencia Ejecutiva,Asistencia Ejecutiva,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,8:00,11:30,,,16/06/2025,30/06/2025
Aplicación de la Inclusión Socal en Ambientes Laborales,Asistencia Ejecutiva,11:30,15:30,11:30,15:30,11:30,15:30,11:30,15:30,11:30,15:30,,,16/06/2025,30/06/2025
Atención en el Hogar del Adulto Mayor con Enfermedad de Parkinson,Atención Integral a Personas Adultas Mayores,17:00,21:00,17:00,21:00,17:00,21:00,17:00,21:00,17:00,21:00,,,16/06/2025,27/06/2025
Comunicación Asertiva con Lenguaje de Señas Mexicana (LSM),Atención Integral a Personas con Discapacidad,,,8:00,12:00,8:00,12:00,8:00,12:00,8:00,12:00,,,27/05/2025,27/06/2025
Confección de Blancos,Confección Industrial de Ropa,,,16:00,20:00,16:00,20:00,16:00,20:00,16:00,20:00,,,13/05/2025,27/06/2025
Elaboración de Velas Aromáticas para SPA,Cuidados Cosmetológicos Faciales y Corporales,16:00,18:30,16:00,18:30,16:00,18:30,16:00,18:30,16:00,18:30,,,17/06/2025,30/06/2025
Elaboración de Velas Aromáticas para SPA,Cuidados Cosmetológicos Faciales y Corporales,10:30,14:30,10:30,14:30,10:30,14:30,10:30,14:30,10:30,14:30,,,09/06/2025,27/06/2025
Elaboración de Jabones Tipo SPA,Cuidados Cosmetológicos Faciales y Corporales,10:30,14:30,10:30,14:30,10:30,14:30,10:30,14:30,10:30,14:30,,,19/05/2025,06/06/2025
Elaboración de Productos de Facial y Corporal en Cabina,Cuidados Cosmetológicos Faciales y Corporales,18:30,21:00,18:30,21:00,18:30,21:00,18:30,21:00,18:30,21:00,,,06/05/2025,09/06/2025
Aplicación de Maniobras para Técnica de Reflexología,Cuidados Cosmetológicos Faciales y Corporales,18:30,21:00,18:30,21:00,18:30,21:00,18:30,21:00,18:30,21:00,,,10/06/2025,30/06/2025
Investigación de la indumentaria y la Moda,Diseño de Moda,8:00,11:00,8:00,11:00,8:00,11:00,8:00,11:00,8:00,11:00,,,12/05/2025,18/06/2025
Elaboración de Bucket Hat,Diseño de Moda,8:00,11:00,8:00,11:00,8:00,11:00,8:00,11:00,8:00,11:00,,,19/06/2025,30/06/2025
Creación de Alta Moda,Diseño de Moda,11:00,14:00,11:00,14:00,11:00,14:00,11:00,14:00,11:00,14:00,,,01/04/2025,30/06/2025
Introducción a la Carpintería,Diseño y Fabrcación de Muebles de Madera,18:00,21:00,18:00,21:00,18:00,21:00,18:00,21:00,18:00,21:00,,,07/04/2025,16/05/2025
Elaboración de Ensambes Básicos para Carpinteria,Diseño y Fabrcación de Muebles de Madera,18:00,21:00,18:00,21:00,18:00,21:00,18:00,21:00,18:00,21:00,,,19/05/2025,13/06/2025
Aplicación de Poliuretanos en Madera,Diseño y Fabrcación de Muebles de Madera,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,16/06/2025,30/06/2025
Elaboración de Joyero en Madera,Diseño y Fabrcación de Muebles de Madera,18:00,21:00,18:00,21:00,18:00,21:00,18:00,21:00,18:00,21:00,,,16/06/2025,30/06/2025
Despiece de Buró,Diseño y Fabrcación de Muebles de Madera,8:00,11:00,8:00,11:00,8:00,11:00,8:00,11:00,8:00,11:00,,,02/04/2025,16/05/2025
Despiece de un Mueble,Diseño y Fabrcación de Muebles de Madera,11:00,14:00,11:00,14:00,11:00,14:00,11:00,14:00,11:00,14:00,,,02/04/2025,16/05/2025
